,county.x,date,device_count,devices_leaving_home,median_home_dwell_time,median_non_home_dwell_time,share_asian,share_black,share_white,share_hhinc_100k,share_poverty,share_public_transit,precip,tmin,tmax,county_sip,popestimate2019,cases,deaths,share_over_65,trump_vote_share,county_republican,grade_distance,school_closure,outcome
6647,Livingston County,2020-05-01,2956,1924,611.0253721244926,66.37618403247632,0.007062342482067189,0.04544825103165591,0.9545517489683442,0.07040186113495997,0.1208629905558479,0.00199203187250996,1.05375,44.304125,68.111375,0,35648,20,1,0.17337303503406834,0.6685441089789771,1,B,1.0,0
6648,Livingston County,2020-05-02,2860,1932,714.0615384615386,55.217482517482516,0.007062342482067189,0.04544825103165591,0.9545517489683442,0.07040186113495997,0.1208629905558479,0.00199203187250996,2.55125,54.719375,79.80799999999991,0,35648,21,1,0.17337303503406834,0.6685441089789771,1,B,1.0,0
6649,Livingston County,2020-05-03,2625,1614,793.142476190476,31.354285714285716,0.007062342482067189,0.04544825103165591,0.9545517489683442,0.07040186113495997,0.1208629905558479,0.00199203187250996,0.3075,44.3165,71.3558749999999,0,35648,24,1,0.17337303503406834,0.6685441089789771,1,B,1.0,0
6650,Livingston County,2020-05-04,2839,1877,711.0996829869673,63.514970059880234,0.007062342482067189,0.04544825103165591,0.9545517489683442,0.07040186113495997,0.1208629905558479,0.00199203187250996,4.783125,42.600875,56.555375,0,35648,23,1,0.17337303503406834,0.6685441089789771,1,B,1.0,0
6651,Livingston County,2020-05-05,2811,1787,726.3731768054073,56.417289220917816,0.007062342482067189,0.04544825103165591,0.9545517489683442,0.07040186113495997,0.1208629905558479,0.00199203187250996,8.5775,38.8388749999999,49.249624999999895,0,35648,23,1,0.17337303503406834,0.6685441089789771,1,B,1.0,0
6652,Livingston County,2020-05-06,2805,1933,687.6181818181817,70.45276292335116,0.007062342482067189,0.04544825103165591,0.9545517489683442,0.07040186113495997,0.1208629905558479,0.00199203187250996,0.0,42.380375,63.332375,0,35648,23,1,0.17337303503406834,0.6685441089789771,1,B,1.0,0
6653,Livingston County,2020-05-07,2788,1881,658.3619081779053,73.97883787661407,0.007062342482067189,0.04544825103165591,0.9545517489683442,0.07040186113495997,0.1208629905558479,0.00199203187250996,0.0,43.10487499999989,68.19125,0,35648,24,1,0.17337303503406834,0.6685441089789771,1,B,1.0,0
6654,Livingston County,2020-05-08,2739,1866,662.149689667762,67.4746257758306,0.007062342482067189,0.04544825103165591,0.9545517489683442,0.07040186113495997,0.1208629905558479,0.00199203187250996,0.0,30.522875,52.72925,0,35648,24,1,0.17337303503406834,0.6685441089789771,1,B,1.0,0
6655,Livingston County,2020-05-09,2764,1884,659.8968885672938,62.33140376266281,0.007062342482067189,0.04544825103165591,0.9545517489683442,0.07040186113495997,0.1208629905558479,0.00199203187250996,0.0,36.01175,61.043,0,35648,24,1,0.17337303503406834,0.6685441089789771,1,B,1.0,0
6656,Livingston County,2020-05-10,2771,1691,808.5438469866474,29.68206423673764,0.007062342482067189,0.04544825103165591,0.9545517489683442,0.07040186113495997,0.1208629905558479,0.00199203187250996,0.8375,39.8322499999999,52.35575,0,35648,24,1,0.17337303503406834,0.6685441089789771,1,B,1.0,0
6657,Livingston County,2020-05-11,2790,1855,692.7971326164874,69.61899641577061,0.007062342482067189,0.04544825103165591,0.9545517489683442,0.07040186113495997,0.1208629905558479,0.00199203187250996,0.0,35.7552499999999,52.298375,0,35648,24,1,0.17337303503406834,0.6685441089789771,1,B,1.0,0
6658,Livingston County,2020-05-12,2769,1926,657.0176959191042,92.78259299386059,0.007062342482067189,0.04544825103165591,0.9545517489683442,0.07040186113495997,0.1208629905558479,0.00199203187250996,0.0,40.659125,63.899375,0,35648,25,1,0.17337303503406834,0.6685441089789771,1,B,1.0,0
6659,Livingston County,2020-05-13,2867,1951,612.9965120334845,82.09766306243459,0.007062342482067189,0.04544825103165591,0.9545517489683442,0.07040186113495997,0.1208629905558479,0.00199203187250996,0.380625,46.2335,63.685625,0,35648,25,1,0.17337303503406834,0.6685441089789771,1,B,1.0,0
6660,Livingston County,2020-05-14,3130,2044,605.2648562300319,55.11277955271566,0.007062342482067189,0.04544825103165591,0.9545517489683442,0.07040186113495997,0.1208629905558479,0.00199203187250996,46.840625,57.08299999999989,74.84899999999999,0,35648,25,1,0.17337303503406834,0.6685441089789771,1,B,1.0,0
6661,Livingston County,2020-05-15,2963,1995,588.8086398920012,89.52278096523794,0.007062342482067189,0.04544825103165591,0.9545517489683442,0.07040186113495997,0.1208629905558479,0.00199203187250996,0.041875,55.923125,75.873875,0,35648,25,1,0.17337303503406834,0.6685441089789771,1,B,1.0,0
6662,Livingston County,2020-05-16,2879,1983,629.7912469607503,68.73810350816255,0.007062342482067189,0.04544825103165591,0.9545517489683442,0.07040186113495997,0.1208629905558479,0.00199203187250996,21.0525,55.999624999999895,77.925875,0,35648,25,1,0.17337303503406834,0.6685441089789771,1,B,1.0,0
6663,Livingston County,2020-05-17,3106,1771,788.7730199613651,16.281390856406954,0.007062342482067189,0.04544825103165591,0.9545517489683442,0.07040186113495997,0.1208629905558479,0.00199203187250996,49.0525,56.035625,70.638125,0,35648,26,1,0.17337303503406834,0.6685441089789771,1,B,1.0,0
6664,Livingston County,2020-05-18,3007,1992,627.6345194546059,63.48087795144662,0.007062342482067189,0.04544825103165591,0.9545517489683442,0.07040186113495997,0.1208629905558479,0.00199203187250996,12.5625,54.429125,65.307875,0,35648,27,1,0.17337303503406834,0.6685441089789771,1,B,,0
6665,Livingston County,2020-05-19,2919,1941,643.6947584789311,69.77183967112025,0.007062342482067189,0.04544825103165591,0.9545517489683442,0.07040186113495997,0.1208629905558479,0.00199203187250996,0.80375,54.778999999999996,65.74775,0,35648,27,1,0.17337303503406834,0.6685441089789771,1,B,,0
6666,Livingston County,2020-05-20,2948,2014,636.1272048846675,78.18758480325644,0.007062342482067189,0.04544825103165591,0.9545517489683442,0.07040186113495997,0.1208629905558479,0.00199203187250996,0.0,55.643,64.0107499999999,0,35648,28,1,0.17337303503406834,0.6685441089789771,1,B,,0
6667,Livingston County,2020-05-21,2977,2068,576.7514276116896,89.93886462882097,0.007062342482067189,0.04544825103165591,0.9545517489683442,0.07040186113495997,0.1208629905558479,0.00199203187250996,0.0,52.829375,63.242374999999896,0,35648,29,2,0.17337303503406834,0.6685441089789771,1,B,,0
6668,Livingston County,2020-05-22,3005,2222,561.0352745424293,111.91014975041595,0.007062342482067189,0.04544825103165591,0.9545517489683442,0.07040186113495997,0.1208629905558479,0.00199203187250996,0.0,58.048249999999896,74.447375,0,35648,30,2,0.17337303503406834,0.6685441089789771,1,B,,0
6669,Livingston County,2020-05-23,3132,2168,553.3192848020434,77.66443167305236,0.007062342482067189,0.04544825103165591,0.9545517489683442,0.07040186113495997,0.1208629905558479,0.00199203187250996,11.20125,62.200625,82.25825,0,35648,31,2,0.17337303503406834,0.6685441089789771,1,B,,0
6670,Livingston County,2020-05-24,3040,2078,544.7506578947368,74.07236842105263,0.007062342482067189,0.04544825103165591,0.9545517489683442,0.07040186113495997,0.1208629905558479,0.00199203187250996,1.67875,66.42725,88.1915,0,35648,31,2,0.17337303503406834,0.6685441089789771,1,B,,0
6671,Livingston County,2020-05-25,3126,2044,632.8474088291747,54.17114523352527,0.007062342482067189,0.04544825103165591,0.9545517489683442,0.07040186113495997,0.1208629905558479,0.00199203187250996,10.510625,66.0357499999999,85.43075,0,35648,31,2,0.17337303503406834,0.6685441089789771,1,B,,0
6672,Livingston County,2020-05-26,3048,2088,572.8369422572179,93.08661417322836,0.007062342482067189,0.04544825103165591,0.9545517489683442,0.07040186113495997,0.1208629905558479,0.00199203187250996,0.88125,66.09649999999989,86.24525,0,35648,31,2,0.17337303503406834,0.6685441089789771,1,B,,0
6673,Livingston County,2020-05-27,2901,2121,548.8397104446742,118.60186142709412,0.007062342482067189,0.04544825103165591,0.9545517489683442,0.07040186113495997,0.1208629905558479,0.00199203187250996,,,,0,35648,31,2,0.17337303503406834,0.6685441089789771,1,B,,0
6674,Livingston County,2020-05-28,3020,2172,535.3751655629139,101.61589403973508,0.007062342482067189,0.04544825103165591,0.9545517489683442,0.07040186113495997,0.1208629905558479,0.00199203187250996,,,,0,35648,32,2,0.17337303503406834,0.6685441089789771,1,B,,0
6675,Livingston County,2020-05-29,2941,2220,540.4161849710981,141.79972798367902,0.007062342482067189,0.04544825103165591,0.9545517489683442,0.07040186113495997,0.1208629905558479,0.00199203187250996,,,,0,35648,32,2,0.17337303503406834,0.6685441089789771,1,B,,0
6676,Livingston County,2020-05-30,2898,2145,526.3999309868875,114.20289855072464,0.007062342482067189,0.04544825103165591,0.9545517489683442,0.07040186113495997,0.1208629905558479,0.00199203187250996,,,,0,35648,34,2,0.17337303503406834,0.6685441089789771,1,B,,0
6677,Livingston County,2020-05-31,2897,2023,609.3151536071797,77.80393510528133,0.007062342482067189,0.04544825103165591,0.9545517489683442,0.07040186113495997,0.1208629905558479,0.00199203187250996,,,,0,35648,34,2,0.17337303503406834,0.6685441089789771,1,B,,0
6678,Logan County,2020-01-27,1758,1441,633.5273037542663,302.14334470989763,0.006137283137900296,0.10477953781800728,0.8235616814098607,0.059589933484193926,0.10272234793938148,0.007418144611186903,0.0,12.8804,41.0828,0,28618,0,0,0.16958417169684775,0.6597048625110881,1,B,,0
6679,Logan County,2020-01-28,1685,1395,626.9418397626113,321.80830860534127,0.006137283137900296,0.10477953781800728,0.8235616814098607,0.059589933484193926,0.10272234793938148,0.007418144611186903,0.0,13.1324,42.4453999999999,0,28618,0,0,0.16958417169684775,0.6597048625110881,1,B,,0
6680,Logan County,2020-01-29,1695,1411,670.9628318584072,313.3268436578171,0.006137283137900296,0.10477953781800728,0.8235616814098607,0.059589933484193926,0.10272234793938148,0.007418144611186903,0.0,-6.72520000000007,20.4853999999999,0,28618,0,0,0.16958417169684775,0.6597048625110881,1,B,,0
6681,Logan County,2020-01-30,1700,1349,663.4417647058823,319.9435294117647,0.006137283137900296,0.10477953781800728,0.8235616814098607,0.059589933484193926,0.10272234793938148,0.007418144611186903,0.0,-6.95200000000008,2.69959999999997,0,28618,0,0,0.16958417169684775,0.6597048625110881,1,B,,0
6682,Logan County,2020-01-31,1669,1424,614.6608747753146,337.87477531455966,0.006137283137900296,0.10477953781800728,0.8235616814098607,0.059589933484193926,0.10272234793938148,0.007418144611186903,0.9540000000000001,-4.94140000000004,18.348799999999898,0,28618,0,0,0.16958417169684775,0.6597048625110881,1,B,,0
6683,Logan County,2020-02-01,2265,1669,688.9430463576158,126.0,0.006137283137900296,0.10477953781800728,0.8235616814098607,0.059589933484193926,0.10272234793938148,0.007418144611186903,0.0,15.4489999999999,32.6714,0,28618,0,0,0.16958417169684775,0.6597048625110881,1,B,,0
6684,Logan County,2020-02-02,2246,1551,786.9109528049868,88.89403383793409,0.006137283137900296,0.10477953781800728,0.8235616814098607,0.059589933484193926,0.10272234793938148,0.007418144611186903,0.0,30.8407999999999,48.128,0,28618,0,0,0.16958417169684775,0.6597048625110881,1,B,,0
