,county,id,date,text
104,Bond County,1256372805345652736,2020-05-01 23:59:53+00:00,O PR @jairbolsonaro Tosse propositalmente durante reunião com apoiadores no Palácio do Planalto ao enviar mensagens aos trabalhadores. Um ato de puro deboche e descaso com tudo que estamos passando. Lamentável!! #COVID__19 #coronavirus
105,Bond County,1256372801809928193,2020-05-01 23:59:52+00:00,They all need to stop by the estate planning kyosk #coronavirus #COVID19 #IndictTrump #CoronavirusCrisis #PenceKnew #BenedictDonald
106,Bond County,1256372797540044801,2020-05-01 23:59:51+00:00,şu Anadolu insanına kulak vermek lazım gibi gibi.. şuraya bi bakın derim https://www.youtube.com/channel/UCUCktphEW1RAT-2nynMpREg #COVID #coronavirus #5g #Covid_19
107,Bond County,1256372796499922945,2020-05-01 23:59:51+00:00,"Central Government has categoried districts falling in states as Red, Green and Orange based on the #COVID outbreak and number of active cases. #LockdownExtended #lockdown #coronavirus #coronavirusindia #Covid19… https://www.instagram.com/p/B_qiD2Ch9mI/?igshid=hle1n42bpxnp"
108,Bond County,1256372786517377025,2020-05-01 23:59:49+00:00,Sigue la #ConferenciaDePrensa: #Coronavirus #COVID19 de este viernes 1 de mayo de 2020! Aquí la cobertura. 
109,Bond County,1256372783392731136,2020-05-01 23:59:48+00:00,The Grim Reaper gets interviewed on a Florida beach - https://fox8.com/news/coronavirus/lawyer-dressed-as-grim-reaper-goes-on-florida-beach-tour-to-scare-off-visitors/ Better than protesting with guns (and he’s not protesting because he needs a haircut). #coronavirus #onlyinflorida
110,Bond County,1256372783279296512,2020-05-01 23:59:48+00:00,$SOHO Makes strategic moves to mitigate the financial impact of the COVID-19 pandemic #SotherlyHotels #Coronavirus #COVID19 http://crweworld.com/symbol/SOHO
111,Bond County,1256372766187626498,2020-05-01 23:59:44+00:00,@MacGyverCBS gonna be lit tonight #coronavirus
112,Bond County,1256372751314685953,2020-05-01 23:59:40+00:00,Absolutely. Most successful countries address #coronavirus by requiring every1 leaving the house wear a mask &amp; it stays on until 1 returns home. That provides maximum protection 4 every1. If #COVID__19 is a pandemic it should be addressed with maximum protection 4 all. #Masks
113,Bond County,1256372750442131457,2020-05-01 23:59:40+00:00,Praying for the safe return of the Chinese whistleblowers who alerted the world to #coronavirus. 
114,Bond County,1256372741575454722,2020-05-01 23:59:38+00:00,UK has the 3rd highest death rate during pandemic #COVID__19 shit man! Although we still don’t know the accuracy of china’s death toll. #coronavirusuk #coronavirus #pandemic
115,Bond County,1256372731995729923,2020-05-01 23:59:36+00:00,Erm.....this is what healthcare has come to as a result of #coronavirus? They’re in the wrong profession and using the wrong kind of poles? This is not a good look for people who claim to be #professionals in the #healthcare industry. #covid19
116,Bond County,1256372724303376385,2020-05-01 23:59:34+00:00,"#EDPaís Con la entrega de este fin de semana, serán más de mil los respiradores repartidos. A San Luis llegarán cuatro. #Respiradores #Coronavirus #Salud"
117,Bond County,1256372721635790849,2020-05-01 23:59:33+00:00,Sıkılmaktan sıkıldım nasıl bir sınav bu. #coronavirus #Covid_19 #SokagaCikmaYasagi
118,Bond County,1256372718452248576,2020-05-01 23:59:33+00:00,Mask Hack! #COVID__19 #mask #WearAMask #hack #coronavirus 
119,Bond County,1256372710114017280,2020-05-01 23:59:31+00:00,"Concerns about @NYPDnews staffing levels are a ridiculous excuse. Park a squad car or two as barricades and BOOM problem solved, #SocialDistanacing achieved. Get it together @NYCMayor #coronavirus"
120,Bond County,1256372704212647937,2020-05-01 23:59:29+00:00,He sure the heck is keep track of this date and see if in a couple of weeks #Coronavirus is on the rise again
